[2020-09-05 18:42:23 RayTracerMainProgram.py:859 -             <module>() ] 3.6.9 |Intel Corporation| (default, Sep 11 2019, 16:40:08) 
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000251
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000093
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000252
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000257
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000251
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000259
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000088
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000251
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000259
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000253
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000257
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000253
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000256
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000091
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000250
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000252
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000242
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000248
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000235
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000241
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000088
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000237
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000237
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000236
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000240
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000232
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000240
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000231
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000239
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000229
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000085
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000237
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000228
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000231
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000093
[2020-09-05 18:42:27 Rays.py:616 -       mesh_singleray() ] Time doing conestepping 0.016307
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000254
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000250
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000253
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000251
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000252
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000095
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000251
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000251
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000093
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000253
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000250
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000093
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000253
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000247
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000252
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000259
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000252
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000257
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000246
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000248
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000241
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000085
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000243
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000088
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000235
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000242
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000232
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000239
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000229
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000232
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000093
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000234
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000230
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000233
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000227
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000231
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000227
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000091
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000229
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:616 -       mesh_singleray() ] Time doing conestepping 0.016262
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000251
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000254
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000257
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000251
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000256
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000091
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000253
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000255
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000254
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000250
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000252
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000093
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000254
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000249
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000093
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000251
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000249
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000093
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000252
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000248
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000088
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000240
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000246
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000234
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000236
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000234
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000232
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000093
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000236
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000091
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000232
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000093
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000232
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000233
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000231
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000085
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000231
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000229
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000227
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000228
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000229
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:616 -       mesh_singleray() ] Time doing conestepping 0.016348
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000254
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000255
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000253
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000254
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000258
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000252
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000252
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000252
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000255
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000090
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000255
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000251
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000254
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000087
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000254
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000258
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000257
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000093
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000247
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000242
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000243
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000238
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000093
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000240
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000237
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000093
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000233
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000236
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000235
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000234
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000235
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000231
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000092
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000231
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000233
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000091
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000236
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000231
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000229
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000086
[2020-09-05 18:42:27 Rays.py:616 -       mesh_singleray() ] Time doing conestepping 0.016339
[2020-09-05 18:42:27 Rays.py:521 -       mesh_singleray() ] Time doing initial checks and assignment in singleray 0.000584
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.008766
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.007183
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.015598
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000107
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.015635
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.043817
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.013763
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.005370
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.008593
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000102
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.006937
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000098
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.007474
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.034776
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005645
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000103
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005343
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005357
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000108
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.006031
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.029406
[2020-09-05 18:42:27 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004830
[2020-09-05 18:42:27 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000102
